time,F3(gamma),FC5(gamma),AF3(gamma),F7(gamma),T7(gamma),P7(gamma),O1(gamma),O2(gamma),P8(gamma),T8(gamma),F8(gamma),AF4(gamma),FC6(gamma),F4(gamma),F3(beta),FC5(beta),AF3(beta),F7(beta),T7(beta),P7(beta),O1(beta),O2(beta),P8(beta),T8(beta),F8(beta),AF4(beta),FC6(beta),F4(beta),F3(alpha),FC5(alpha),AF3(alpha),F7(alpha),T7(alpha),P7(alpha),O1(alpha),O2(alpha),P8(alpha),T8(alpha),F8(alpha),AF4(alpha),FC6(alpha),F4(alpha),F3(theta),FC5(theta),AF3(theta),F7(theta),T7(theta),P7(theta),O1(theta),O2(theta),P8(theta),T8(theta),F8(theta),AF4(theta),FC6(theta),F4(theta),F3(delta),FC5(delta),AF3(delta),F7(delta),T7(delta),P7(delta),O1(delta),O2(delta),P8(delta),T8(delta),F8(delta),AF4(delta),FC6(delta),F4(delta)
0,1903.021763,1256.22917,3445.102176,7017.552209,2447.037372,974.3745745,2472.84151,2891.431501,1558.086728,5050.231429,1753.842504,4910.283043,3892.247813,3901.552056,421.0292044,94.43253603,646.7835029,1404.919749,223.5992913,296.5024285,584.1302516,526.9200309,465.3834079,748.2898251,774.4904087,888.5720259,723.3383755,714.8745767,362.6715646,385.3073454,1076.617196,2771.300663,1008.994817,213.9030508,319.6711632,319.6003027,157.9254356,1503.353676,148.9772385,851.9101461,951.8885168,975.6778244,1104.232518,881.7577925,2917.245325,7350.222344,2310.091121,230.8838604,54.37359727,533.4260047,819.6175541,3386.720304,2091.422703,1708.805822,1619.289962,2684.437894,70590.928,36899.824,34005.232,74205.662,84564.528,5434.768,169408.58,45932.008,31286.182,5616.42,9991.346,56623.032,7598.478,14740.192
0.25,254.3083387,287.6734028,367.6765791,345.4323768,410.5276027,169.4752702,440.2189667,632.6910041,429.442324,633.5856395,439.7794657,545.3142319,546.3046709,430.149058,165.0962848,108.1077455,239.3948817,188.7174454,142.2861317,95.41718403,271.8010893,190.2472753,138.8969337,336.8832389,117.9418457,247.9795359,300.8258264,122.6251149,88.00980265,244.23044,44.0774234,127.3226652,74.46440686,65.76568512,60.13360261,129.3940501,79.5411813,98.93657027,307.2447557,99.76377841,210.4223106,129.0878243,161.0975096,312.9053282,271.0179927,198.9495901,342.5144755,63.10009753,200.7312476,235.0283308,120.4492086,217.9371949,454.5347728,289.4800626,201.1216533,204.5802877,35624.964,20314.412,16523.616,32764.831,42006.764,3303.384,83559.79,21963.504,14796.091,1260.21,5324.173,29157.016,1766.239,5889.096
0.5,363.7091083,271.3059441,485.1577071,549.7386177,341.7418787,191.6615577,439.276765,407.381456,246.1451657,479.2978227,613.4647054,475.042633,390.0805484,240.63329,173.5433974,105.417794,280.2743534,278.2689717,137.925491,134.1775142,203.9112251,167.8792776,119.8914931,244.9238451,258.1934014,277.028302,264.4533856,150.3934158,85.31380256,129.2585756,109.628353,251.7186471,249.0350254,20.57548949,249.4960885,51.13056864,162.5029081,236.8156897,75.94765271,27.22147832,141.9148495,15.79715622,326.8780293,366.8172415,464.6140244,607.3384172,263.8202285,133.1887394,259.1426655,258.9938843,300.5088966,509.7702877,158.8156348,482.7591942,274.2437431,314.9479037,34297.964,20519.412,18679.616,35945.831,44236.764,3262.384,82692.79,20464.504,13645.091,3917.21,4148.173,31551.016,3180.239,7217.096
0.75,207.6768145,326.0047639,389.3406281,385.6959378,420.5117079,204.7861253,442.536315,606.9663246,319.0005397,425.0125267,521.8569426,354.6221916,444.9563785,220.7575285,44.96832273,112.7277534,55.17557755,91.84060731,185.4888423,68.39526672,324.7275795,242.4805326,123.6044327,189.1894907,173.1099506,62.14240763,122.3771048,66.32775463,132.3336098,357.5390551,197.8171068,285.5086607,159.0361766,218.1293951,237.0069764,382.9935684,381.2532551,326.1213684,526.591216,308.5834615,369.9791588,182.9166174,210.4413247,476.4938034,182.9383143,191.5066799,275.6142266,31.15176179,152.1237001,124.3068868,133.8737579,266.39304,406.7366083,339.2287544,45.27366701,178.8740001,33272.964,21011.412,20248.616,37540.831,45971.764,3321.384,81804.79,19546.504,12768.091,6092.21,2469.173,32778.016,3241.239,8166.096
1,278.4031695,273.8998165,222.1282292,336.0487584,155.0600141,175.614713,425.7539045,452.0326319,492.5039756,444.7593904,962.6567227,342.5971142,661.537326,289.2197249,116.9119179,136.5461114,96.01505254,154.4299697,172.8594821,109.1683675,195.363359,122.4715687,164.1886447,218.1269704,403.8958943,161.3899303,264.9566302,52.60429388,130.3779424,108.0038871,284.6213266,168.8458212,67.8808765,51.94866165,54.55548763,149.0068346,64.87449353,192.9563535,314.8838375,266.1157413,271.0200692,127.249214,238.0587488,56.82972957,86.78095688,224.840223,121.2357297,52.65450621,146.4363926,208.068012,191.7879881,54.49478749,575.1149127,165.3440671,401.489732,162.2333994,33791.964,21704.412,21299.616,38828.831,47615.764,3519.384,81055.79,19283.504,13344.091,6680.21,962.827,33771.016,2164.239,8410.096
1.25,180.6732857,653.5390169,483.3920406,792.4633546,554.9937491,425.8333415,1048.62521,626.7878274,514.7753262,715.1131051,583.7206077,571.9022599,742.575737,366.7504912,105.5080543,204.2833018,232.0483717,351.9441075,229.024834,180.8227207,394.6745109,272.4602016,231.1213809,354.867259,311.1642693,283.7529489,353.9847549,111.9625085,53.44709486,281.9801112,175.2682703,333.8810152,201.6798196,123.0727246,150.9986096,114.4192944,122.8307337,219.8317628,232.1109435,233.5661516,332.4248302,174.479289,775.7354739,801.9691146,594.2919848,880.7103107,591.1521025,506.2955968,449.1798193,324.1843343,304.5737026,477.690377,344.7138607,707.3399293,507.8551068,521.8076332,34669.964,19839.412,22577.616,43036.831,50093.764,2128.384,82539.79,17778.504,12479.091,9121.21,1254.827,35344.016,4075.239,8875.096
1.5,1496.481172,336.9961845,298.9413978,335.4475637,308.4540865,145.3171799,1165.59299,394.865413,377.982079,460.323824,424.9494862,500.7833733,367.8592665,836.3784787,626.1691732,85.58243179,153.1836486,204.4170053,140.9422893,117.6017124,603.0227543,249.7781086,314.7730561,300.97938,302.6515136,202.4434904,243.4385764,321.2384089,682.2214844,42.40273377,113.565365,107.68134,14.90759356,35.94354905,156.1976414,201.0771879,85.38802882,195.7104809,157.5758775,232.9376733,204.7592524,439.7492629,1836.331254,457.2725122,438.5760013,101.5004043,298.7879594,215.5875297,310.4904851,95.89199713,157.7314921,520.7768885,127.3970689,775.3168497,65.02551009,1040.436944,39373.964,18551.412,22835.616,45258.831,51313.764,596.384,83882.79,16921.504,11868.091,9357.21,112.827,34517.016,5605.239,6880.096
1.75,2287.319905,611.5652858,411.9086,569.2060484,1030.284939,215.6920278,1385.622671,424.0269895,698.1106831,779.1721204,645.0222732,529.647294,800.2409102,1127.071691,806.343027,72.94982371,84.96964047,371.3983738,504.6323382,131.2160607,574.6665897,185.9848178,348.9652769,451.1889569,174.5903869,74.34244936,469.244393,289.628482,732.2160144,237.1375013,141.7524536,127.6398916,355.8286357,57.91461581,306.8060286,327.0541883,287.2810695,288.4094339,177.3255618,100.5364199,220.818189,425.1104686,2928.268501,517.6178547,242.5024517,933.5530252,1319.389705,82.97684317,76.66975356,510.25365,889.5118014,995.4069059,153.5607863,437.0223518,1069.372507,1301.450358,38913.964,19608.412,21374.616,43307.831,47102.764,132.616,84688.79,18297.504,13394.091,5849.21,649.173,32508.016,3248.239,5591.096
2,709.8483622,417.9593452,911.9175051,597.9761861,662.7113208,551.2626404,2085.889101,739.9289755,417.9844286,855.4480495,705.3914587,833.362246,502.1796893,478.352197,301.4274311,221.0932912,365.5184992,195.7207622,249.1345638,100.8384806,554.7168669,386.7101421,193.1544631,259.9715684,309.1162289,292.0612418,145.2772352,153.8963088,306.9242958,206.9625187,397.8360611,293.0550016,271.5113267,161.6870068,310.5810946,189.350576,153.4582021,307.5986898,129.4207234,368.0157411,196.0071672,234.8489377,1582.744136,525.4628659,1214.500235,272.0770599,468.4492249,703.8171847,960.0848044,351.4850672,58.75872924,525.9382073,635.5854626,1067.475191,226.6564599,854.0462341,33076.964,16035.412,19226.616,39821.831,41405.764,2330.616,89004.79,19260.504,16823.091,773.21,2287.173,30740.016,1104.761,7869.096
2.25,1899.382234,579.9501696,865.8802704,603.4999835,489.3386172,484.4539171,2079.672545,1261.595243,884.6808632,490.5164462,1257.521979,912.2641268,918.5851162,1001.262291,701.1046557,141.5285913,355.583145,219.9077021,229.9122424,199.1833161,583.8128126,426.6247417,189.8456638,197.0558893,425.6089271,401.8565589,334.7902558,439.6823079,766.1806561,245.7436043,418.2161728,136.3144108,53.51638313,16.99262739,502.1747091,236.2955381,357.047362,559.910302,423.2468737,413.8025084,472.1560441,409.1351997,2390.571204,346.5367951,940.5815415,263.9095499,378.5190122,404.5593011,722.4522747,58.15308849,398.3419815,369.0543861,544.7460455,1118.957455,639.1080514,1428.327736,40600.964,15758.412,14145.616,39290.831,39269.764,4322.616,92067.79,20571.504,18859.091,921.79,2955.173,25709.016,4927.761,3236.096
