channel,freq,C1,C2,testcase1,testcase2,testcase3,testcase4,testcase5,testcase6,testcase7,testcase8,testcase9,testcase10,testcase11,testcase12,testcase13,testcase14,testcase15,testcase16,testcase17,testcase18,testcase19,testcase20,testcase21,testcase22,testcase23,testcase24,testcase25,testcase26,testcase27
F3,9,1,2,0.889828,0.634295,1.824603,1.713973,1.179323,2.342580,1.514499,0.614258,2.555509,1.877793,2.427598,0.871551,0.926333,1.537367,1.028241,1.523075,2.444603,0.688313,1.146505,0.898419,2.252112,0.924518,1.370894,0.997952,0.840998,1.515462,1.246530
F3,19,1,2,0.733523,1.235236,1.301044,1.352208,2.083663,1.220184,1.563747,1.045170,1.168761,1.180526,1.679844,1.099560,0.952972,0.987425,0.803793,0.847476,1.700804,0.933030,1.886520,1.346626,2.406821,1.036126,0.708642,0.954796,1.173501,0.581865,1.426276
F3,38,1,2,1.193698,1.292105,1.165670,1.559780,2.056568,1.572166,1.472944,0.976237,2.068914,1.276790,1.538726,0.510302,0.829145,1.459422,0.671169,1.414266,2.031694,0.911376,2.095541,1.641045,0.838921,1.397686,0.694604,0.809683,0.870290,1.125821,1.301680
F3,43,1,2,0.965076,1.110301,1.515815,0.995668,1.181080,2.727895,1.547519,0.654748,3.904169,1.876413,3.693038,0.570917,0.628249,0.721207,0.812416,1.029378,2.341875,0.583317,1.700684,1.263839,4.425555,1.648001,0.499404,2.115950,0.608956,1.746974,1.692733
F3,52,1,2,1.124818,1.186385,1.693234,1.418185,1.543160,3.832841,1.110216,0.453918,4.017624,2.157032,2.710603,0.904235,0.659704,0.493079,0.901956,1.350080,2.370709,0.607756,3.346869,1.965586,3.555895,1.722682,0.739682,1.197310,0.735768,0.884824,1.308411
F3,57,1,2,0.696118,1.379748,1.905228,1.415924,1.462369,3.177275,1.065816,0.677355,4.276752,1.981640,2.688280,1.121853,0.864459,0.762155,0.588238,1.126818,2.137736,0.995158,2.810473,2.667757,2.913233,1.616311,0.663627,1.040024,0.539236,0.800474,1.072548
FC5,14,1,2,0.928555,2.909625,1.850897,0.689398,1.010659,1.380002,1.649231,0.958698,3.522216,1.665853,3.651230,0.831628,0.493716,0.602011,0.918780,1.783416,1.633625,0.902138,2.021952,1.367119,1.914549,1.514683,1.087676,1.217835,0.535779,2.092273,0.925160
FC5,33,1,2,0.959116,2.372981,1.371229,1.207966,0.776128,1.619268,0.931857,2.035038,2.956613,1.867325,3.516189,1.968549,0.558369,0.526239,1.602998,0.933121,1.259898,0.819382,2.054512,1.468527,2.605780,1.041885,0.615922,0.964493,0.706368,0.881626,1.766796
FC5,52,1,2,0.875768,1.888733,2.984602,0.652167,2.042215,3.199760,2.899985,1.485367,2.802592,2.442760,3.724505,0.512450,0.265020,0.295047,0.675901,1.215464,1.839032,0.296445,2.549173,2.192452,6.377430,1.952244,0.402385,1.780834,0.389829,1.168435,1.821174
FC5,57,1,2,0.875543,1.346800,2.687950,0.831544,1.751191,3.279285,3.759408,1.654215,3.006593,1.826638,4.248632,0.598910,0.233460,0.446550,0.765276,0.841776,2.286156,0.380621,2.334091,2.811518,6.248223,2.416709,0.399313,0.925088,0.521738,1.069628,1.793131
AF3,10,1,2,1.359026,0.852626,1.781485,1.438905,1.410030,1.209688,2.442950,1.105085,1.011347,1.132873,1.443257,1.024915,1.222249,0.945686,1.189388,1.180877,1.271435,0.870115,0.706165,1.255296,1.025967,1.771260,1.001191,1.246826,0.757890,0.910235,0.951077
AF3,29,1,2,1.446627,2.254972,1.972341,0.651420,1.929071,1.149001,2.102355,1.424870,2.059606,0.758322,1.907565,1.768071,0.511684,1.243411,1.275623,0.966860,0.827554,0.524349,1.624649,1.703553,1.777920,0.991311,1.330472,1.937465,0.825206,0.822966,1.176454
F7,3,1,2,1.089159,1.008594,4.308824,0.844345,0.530014,7.359471,3.140619,1.463486,3.651804,1.565185,2.551526,0.723974,0.237077,0.396036,2.233698,1.016428,1.329379,0.977787,3.372797,1.957000,2.190614,4.036008,0.273526,1.860793,1.040460,1.009261,2.689481
F7,6,1,2,1.473043,1.876023,3.826027,0.861753,1.226765,3.496660,2.235632,1.662779,2.205658,1.193279,1.414276,1.438965,0.365177,0.903768,2.067880,0.946691,1.149058,0.769550,1.444265,1.285969,1.188077,2.807696,0.460888,1.337802,0.818801,0.825923,1.621074
