channel,freq,C1,C2,testcase1,testcase2,testcase3,testcase4,testcase5,testcase6,testcase7,testcase8,testcase9,testcase10,testcase11,testcase12,testcase13,testcase14,testcase15,testcase16,testcase17,testcase18,testcase19,testcase20,testcase21,testcase22,testcase23,testcase24,testcase25,testcase26,testcase27
F3,9,1,2,1.181664,1.135582,1.234807,1.501427,1.640259,2.196714,1.505447,1.233681,2.253888,1.831192,1.975373,1.033862,0.694390,1.447756,0.937795,1.603558,1.278798,0.639069,1.159447,1.557427,1.672319,1.747696,0.669092,0.888524,0.714151,1.585437,1.259041
F3,10,1,2,1.011202,1.176022,1.110939,1.386148,1.105450,1.439235,1.564030,1.517380,2.321619,2.598351,1.495486,1.351570,0.490692,1.242248,1.051995,1.439521,1.523352,0.608247,1.321458,1.222525,1.743466,1.802463,0.693499,1.230643,0.764977,1.423974,1.469400
F3,11,1,2,0.852987,1.096148,1.422551,1.132307,1.338759,1.776399,1.789194,1.496751,3.839782,3.313963,1.435134,1.439948,0.410267,0.877043,1.006227,1.259824,1.355385,0.461502,1.733648,1.561105,2.945519,1.895035,0.490667,0.954985,0.571884,1.497949,1.549552
F3,14,1,2,1.343189,0.996456,0.983516,1.121513,1.252066,1.800311,1.445237,0.994487,1.503260,1.781763,1.545436,1.204211,0.791625,0.974277,0.768274,1.109234,1.212947,0.737883,1.811471,1.725051,1.329953,1.540528,0.628557,0.952563,0.732709,1.488037,1.447030
F3,19,1,2,0.943310,1.248079,1.173665,1.041035,1.368866,1.605676,1.080946,1.194317,1.404024,1.484230,1.545538,1.251157,0.866104,1.039154,0.903782,0.976364,1.267137,0.775787,1.718795,1.622732,1.471395,1.039113,0.771849,0.847505,0.708300,0.940757,1.204911
F3,24,1,2,0.995981,0.899585,1.618496,1.193961,1.337064,1.679044,1.373829,1.081190,2.502810,1.839001,1.992719,1.068423,0.666284,0.801476,1.075160,0.958124,1.423351,0.640729,1.581454,1.735226,1.472276,1.338265,0.726106,0.882521,0.568347,1.171416,1.588572
F3,28,1,2,0.963979,1.138562,0.977604,1.448277,1.215211,1.529822,1.113224,1.168211,2.536296,1.804841,1.667470,1.102811,0.527951,1.103500,0.989752,1.048287,1.169223,0.676633,1.575541,1.662061,2.242918,1.891034,0.645725,0.946463,0.777852,1.425445,1.340675
F3,29,1,2,0.857227,1.011174,1.018976,1.111514,1.629417,1.780292,1.495276,1.348195,3.163583,1.871763,1.466614,1.036891,0.675396,0.836435,0.917302,1.344347,1.530148,0.516655,1.851800,1.821454,2.067842,1.488959,0.644051,1.105465,0.500473,1.058918,1.201814
F3,52,1,2,0.881325,1.024775,2.706276,1.367588,1.364748,1.935247,1.283523,1.146296,3.512564,2.158442,2.149282,0.866521,0.544914,0.750696,0.905925,1.142654,1.660273,0.622259,2.300609,2.275777,2.033527,1.584752,0.530442,0.979861,0.458352,1.392415,1.290287
F3,57,1,2,0.889305,1.105031,2.378819,1.272015,1.368906,1.985326,1.347030,1.140653,3.198221,1.918410,2.155822,0.789789,0.539002,0.740126,0.994963,1.057423,1.734523,0.641666,2.367523,2.469855,1.949225,1.617035,0.576897,0.938800,0.495578,1.298241,1.304122
AF3,10,1,2,1.767080,1.114211,1.710992,1.576829,1.597380,1.291801,2.143666,0.987224,1.291696,1.226341,1.231070,1.039659,0.920229,1.136240,1.186887,1.385299,0.960555,0.859206,0.828701,1.223075,1.154255,1.305123,1.022942,0.831206,0.768926,0.914912,0.836852
AF3,24,1,2,1.279321,1.242714,1.460763,1.298078,1.307180,1.780828,2.127259,1.039107,1.242674,1.113504,1.251923,0.917828,0.908781,1.003256,1.081987,1.013809,0.910942,0.761071,1.310767,1.023408,1.372255,1.022898,1.113549,1.121303,0.848419,1.188666,0.997714
F7,7,1,2,0.907789,1.115310,1.882253,1.072121,1.109430,5.134396,2.297335,1.653190,2.888213,1.948293,1.713051,0.877775,0.379119,0.942960,1.115053,1.011813,1.246270,1.013373,1.396205,1.494882,0.984148,1.724674,0.574513,2.591081,0.789710,0.890732,1.409232
F7,8,1,2,0.903237,1.034778,1.757636,1.197188,1.244292,4.814154,2.052012,1.491758,2.403113,1.730966,1.678546,0.903120,0.519017,0.986156,1.103978,1.110115,1.259210,0.949940,1.241551,1.476228,0.979882,1.692078,0.668825,2.293837,0.828958,1.061696,1.372164
F7,9,1,2,1.125424,0.905953,1.203462,1.397366,1.498353,2.767028,1.556261,1.163563,1.290259,1.422408,1.287500,1.012150,0.895980,1.053469,0.958522,1.349700,1.378399,0.887807,1.014733,1.279751,0.951762,1.492174,0.995861,1.276062,1.034851,1.409152,1.079285
F7,10,1,2,1.345791,1.276574,1.076763,1.463094,1.096973,2.324379,1.721575,1.332265,1.542614,1.310502,1.116475,1.188937,0.929237,1.059836,1.021642,1.358743,1.510165,1.152614,0.875955,1.117094,0.795001,1.181922,1.000857,1.281995,1.228642,1.244692,1.154496
F7,11,1,2,1.067466,1.422604,1.316638,1.303860,0.987424,3.790229,2.500361,1.529050,2.371626,1.336969,1.357754,1.337745,0.601212,0.977495,1.269438,1.258422,1.553937,1.219693,0.958601,1.204234,0.775717,1.397592,0.729214,2.071712,0.975152,1.005692,1.258580
F7,12,1,2,1.049944,1.395674,1.355738,1.087406,1.007103,4.352849,2.899116,1.531524,2.687882,1.324472,1.569439,1.342671,0.516955,0.909827,1.334940,1.163579,1.355671,1.193482,1.053675,1.318541,0.788993,1.511848,0.626021,2.223980,0.896238,0.934620,1.255144
F7,13,1,2,1.073735,1.319370,1.164384,0.972699,1.070973,3.910347,2.557178,1.373430,2.236579,1.274599,1.589042,1.164619,0.624126,0.906600,1.151077,1.055122,1.029092,1.081093,1.043114,1.371251,0.775242,1.486923,0.657699,2.087289,0.894803,1.020081,1.156423
F7,20,1,2,0.916595,1.208129,1.523162,1.083082,0.994276,3.457915,1.975775,1.550739,2.527057,1.337557,1.294720,1.045601,0.587689,0.765051,1.147205,1.028392,1.012515,1.016078,1.044005,1.262736,1.362939,1.373533,0.635419,2.389966,1.040129,1.045538,1.249909
F7,21,1,2,0.919004,1.275720,1.745089,1.047126,0.946113,4.274041,2.485012,1.691677,3.614560,1.535549,1.463370,0.974938,0.402307,0.736093,1.231263,1.078262,1.310068,1.178329,1.156674,1.667666,1.135043,1.534133,0.524943,2.893123,0.968118,0.935614,1.410893
F7,22,1,2,0.916519,1.245878,1.575211,1.089776,0.908589,4.444719,2.694607,1.642650,3.616726,1.562271,1.449480,1.032570,0.427910,0.761352,1.093618,0.984357,1.286117,1.137503,1.183361,1.886025,1.078181,1.471046,0.543213,2.977174,1.016886,0.995513,1.276853
F7,23,1,2,0.927143,1.158719,1.147192,1.178746,0.839558,3.136360,2.020150,1.328594,2.222276,1.330563,1.215389,1.096540,0.677390,0.843219,0.899651,0.781744,0.961806,1.048934,1.048614,1.579099,1.117660,1.257419,0.731937,2.236034,1.181601,1.266504,1.051912
F7,25,1,2,0.976845,1.414757,1.444684,1.055465,1.133056,3.573340,1.611515,1.512252,3.500610,1.335946,1.828149,1.257351,0.541216,0.815607,1.021151,1.408922,1.473371,1.087603,1.126965,1.156670,0.976055,1.355475,0.593447,2.781363,0.911665,1.073713,1.375644
