channel,freq,C1,C2,testcase1,testcase2,testcase3,testcase4,testcase5,testcase6,testcase7,testcase8,testcase9,testcase10,testcase11,testcase12,testcase13,testcase14,testcase15,testcase16,testcase17,testcase18,testcase19,testcase20,testcase21,testcase22,testcase23,testcase24,testcase25,testcase26,testcase27
F3,5,1,2,0.731123,0.965886,2.742622,1.545491,1.239284,2.192778,0.618851,0.724062,1.468562,2.154483,2.649089,0.611007,1.639245,0.587853,1.095607,1.213788,1.472450,0.842929,3.482212,1.156295,2.477304,0.918436,0.660340,2.091786,0.892188,1.151837,1.428870
F3,9,1,2,0.840310,0.777824,1.321354,1.503593,0.959848,2.025729,1.819204,0.885020,2.160260,1.623407,2.414787,0.936995,0.812024,1.339327,0.856091,1.276201,2.178536,0.620772,1.528309,0.908576,1.358184,1.037859,0.842226,1.023559,0.791814,1.616869,1.157478
F3,14,1,2,0.930463,0.843370,0.932141,1.142438,1.344474,2.217347,1.442249,0.836171,1.421798,2.526500,2.393400,1.235465,1.264753,1.007458,1.223367,1.689301,1.582907,0.600416,1.192269,1.464490,1.643462,1.795024,0.851371,1.270937,0.871153,1.107846,2.180463
F3,15,1,2,1.004368,0.905844,1.863821,0.795046,1.223015,2.327293,0.869901,0.848905,3.800048,2.710774,2.966423,0.879470,0.600813,1.089770,0.718450,1.547384,2.035958,0.325617,2.472809,0.921305,4.316232,1.302224,0.717716,1.912516,0.564336,1.530233,1.822535
F3,19,1,2,0.627353,1.216575,1.307935,1.279774,1.839055,1.320280,1.171405,0.982353,1.309768,1.359564,1.655175,1.114561,1.031185,0.889307,0.931439,1.263408,1.573907,0.793278,1.708183,1.167044,1.480492,1.143842,0.910764,1.021457,1.014688,0.785821,1.009727
F3,24,1,2,1.060237,0.887454,1.455974,1.272371,1.044370,1.417955,1.046258,0.904645,1.951971,1.562140,3.252348,0.710504,1.066048,1.102735,0.894487,0.991197,1.422996,0.618656,1.716084,1.308550,1.452512,1.263267,0.774406,1.390218,0.741483,1.058793,1.216470
F3,33,1,2,0.875048,0.875195,1.136412,1.150739,1.394813,1.421957,1.013675,1.247105,1.566809,1.577869,1.960781,0.925873,1.545215,1.569746,1.037266,0.655693,1.765191,1.090164,1.610690,2.016558,1.547581,0.838798,1.152100,1.123651,0.922952,0.620534,0.883150
F3,38,1,2,1.182829,1.767102,1.071678,1.381396,2.082266,1.875374,1.228653,0.877419,1.694999,1.099666,2.645849,0.581890,1.301622,1.154712,0.722480,0.953138,1.803705,0.746693,1.509562,1.888024,0.791983,1.346888,0.708690,1.706030,1.056301,0.996191,1.661067
F3,43,1,2,0.836888,1.248879,2.152703,0.892997,1.241094,2.505716,1.203701,0.809383,4.928397,1.423544,3.368090,0.662010,1.173610,0.927471,0.881651,0.788919,2.099105,1.022985,1.797947,0.924369,3.046324,1.492586,0.591003,1.850908,0.564469,1.119219,1.716270
F3,47,1,2,1.187279,0.944954,2.425217,1.923796,1.002703,2.347880,0.673854,0.629966,3.439058,2.193610,3.585857,0.623190,0.875237,0.892410,0.822585,1.273020,2.428699,0.590153,2.767038,0.777250,4.870902,1.567911,0.492269,1.954576,0.505227,0.807476,1.839280
F3,52,1,2,1.290505,1.471387,2.707710,1.490802,1.492852,3.452638,0.883371,0.778708,2.806552,1.608833,3.347793,0.661496,1.560658,0.915252,0.992344,0.939992,2.092114,0.918207,3.109684,1.734013,2.850345,2.049758,0.561590,1.386530,0.753279,0.707546,1.335846
F3,57,1,2,1.438334,1.504596,3.458735,1.551091,1.421997,3.922222,0.922471,0.884166,2.457584,1.282570,3.463939,0.734388,1.753695,0.987965,0.885175,0.911510,2.106863,0.857217,2.432735,2.110214,2.873710,1.870382,0.586672,1.331143,0.655834,0.669279,1.246119
