channel,freq,C1,C2,DV,increase,DV accepted
F3,0,1,3,238.390979,0,0
F3,1,1,3,222.278440,0,0
F3,2,1,3,177.466349,0,0
F3,3,1,3,115.087816,0,0
F3,4,1,3,51.119692,0,0
F3,9,1,2,21.810293,0,0
F3,12,1,3,33.920232,0,0
F3,13,1,3,24.310349,0,0
F3,14,1,3,10.606842,0,0
F3,19,1,2,6.739588,0,0
F3,24,1,2,6.272049,0,0
F3,25,1,3,12.934337,0,0
F3,26,1,3,15.619513,0,0
F3,27,1,3,12.963889,0,0
F3,28,1,3,6.816043,0,0
F3,29,1,3,7.776905,0,0
F3,30,1,3,13.009227,0,0
F3,31,1,3,14.189683,0,0
F3,32,1,3,10.727400,0,0
F3,34,1,3,8.096630,0,0
F3,39,1,3,8.364366,0,0
F3,40,1,3,11.146769,0,0
F3,41,1,3,10.135335,0,0
F3,42,1,3,5.855182,0,0
F3,43,1,3,3.946378,0,0
F3,44,1,3,8.320527,0,0
F3,46,1,3,8.264404,0,0
F3,47,1,3,3.709447,1,0
F3,48,1,3,4.508722,1,0
F3,52,1,2,2.156937,0,0
F3,53,1,3,5.461241,0,0
F3,56,1,3,5.517301,0,0
F3,57,1,2,1.930751,0,0
F3,58,1,3,6.381134,0,0
F3,61,1,3,4.258839,0,0
F3,62,1,3,3.065149,0,0
AF3,9,2,3,21.118354,1,0
AF3,10,1,3,22.783028,1,0
AF3,10,2,3,20.507749,1,0
AF3,11,2,3,27.352380,1,0
AF3,12,2,3,27.126934,1,0
AF3,29,2,3,6.477706,1,0
AF3,42,2,3,4.613494,1,0
AF3,47,2,3,3.115647,1,0
AF3,48,2,3,3.680988,1,0
AF3,52,2,3,2.049800,1,0
AF3,57,2,3,1.892482,1,0
AF3,62,2,3,2.592773,1,0
F7,0,2,3,139.709217,1,0
F7,1,2,3,131.371133,1,0
F7,2,2,3,107.216026,1,0
F7,3,2,3,72.972448,1,0
F7,4,2,3,38.128379,1,1
F7,5,1,3,23.095860,1,0
F7,5,2,3,22.350892,1,0
F7,6,2,3,32.574295,1,1
F7,7,2,3,35.223343,1,1
F7,8,1,2,28.029951,0,0
F7,8,2,3,29.206953,1,1
F7,9,1,2,18.944341,0,0
F7,9,2,3,19.818016,1,1
F7,10,1,2,18.219273,0,0
