channel,freq,C1,C2,DV,increase,DV accepted
F3,0,1,3,230.731000,0,1
F3,1,1,3,215.162356,0,1
F3,2,1,3,171.780777,0,1
F3,3,1,3,111.355455,0,1
F3,4,1,3,49.435959,0,1
F3,9,1,2,21.810254,0,1
F3,12,1,3,32.933088,0,1
F3,13,1,3,23.544391,0,1
F3,14,1,3,10.508686,0,1
F3,19,1,2,6.752953,0,1
F3,24,1,2,6.303117,0,1
F3,25,1,3,12.592470,0,1
F3,26,1,3,15.182403,0,1
F3,27,1,3,12.577739,0,1
F3,28,1,3,6.590064,0,1
F3,29,1,3,7.423560,0,1
F3,30,1,3,12.472944,0,1
F3,31,1,3,13.607037,0,1
F3,32,1,3,10.258432,0,1
F3,34,1,3,7.858558,0,1
F3,39,1,3,8.069239,0,1
F3,40,1,3,10.799147,0,1
F3,41,1,3,9.835014,0,1
F3,42,1,3,5.687921,0,1
F3,43,1,3,3.822169,0,1
F3,44,1,3,8.067415,0,1
F3,46,1,3,8.012902,0,1
F3,47,1,3,3.591649,0,1
F3,48,1,3,4.367629,0,1
F3,52,1,2,2.173391,0,1
F3,53,1,3,5.285959,0,1
F3,56,1,3,5.346274,0,1
F3,57,1,2,1.951316,0,1
F3,58,1,3,6.184508,0,1
F3,61,1,3,4.127520,0,1
F3,62,1,3,2.972303,0,1
AF3,9,2,3,21.387455,1,1
AF3,10,1,3,22.445597,1,1
AF3,10,2,3,20.855112,1,1
AF3,11,2,3,27.223993,1,1
AF3,12,2,3,26.842785,1,1
AF3,29,2,3,6.194879,1,1
AF3,42,2,3,4.475682,1,1
AF3,47,2,3,3.006371,1,1
AF3,48,2,3,3.520282,1,1
AF3,52,2,3,1.985237,1,1
AF3,57,2,3,1.829855,1,1
AF3,62,2,3,2.497778,1,1
F7,0,2,3,141.169100,1,1
F7,1,2,3,132.526828,1,1
F7,2,2,3,107.782852,1,1
F7,3,2,3,72.896097,1,1
F7,4,2,3,37.542824,1,1
F7,5,1,3,22.674903,1,1
F7,5,2,3,22.075915,1,1
F7,6,2,3,32.929612,1,1
F7,7,2,3,35.935324,1,1
F7,8,1,2,28.289876,0,1
F7,8,2,3,29.945926,1,1
F7,9,1,2,19.063809,0,1
F7,9,2,3,20.414538,1,1
F7,10,1,2,18.063571,0,1
F7,10,2,3,19.039550,1,1
F7,11,1,2,22.230188,0,1
F7,11,2,3,23.268137,1,1
F7,12,1,2,21.732908,0,1
F7,12,2,3,22.702493,1,1
F7,13,2,3,16.907268,1,1
F7,14,2,3,9.760094,1,1
F7,15,2,3,11.273816,1,1
F7,16,2,3,14.815653,1,1
F7,17,2,3,14.487505,1,1
F7,18,2,3,10.409353,1,1
F7,19,2,3,6.568635,1,1
F7,20,1,2,9.322906,0,1
F7,20,2,3,9.777188,1,1
F7,21,1,2,11.439910,0,1
F7,21,2,3,12.032977,1,1
F7,22,2,3,10.933870,1,1
F7,23,2,3,7.254542,1,1
F7,24,2,3,5.598759,1,1
F7,25,1,2,8.287101,0,1
F7,25,2,3,8.647849,1,1
F7,26,1,2,9.583040,0,1
F7,26,2,3,10.024506,1,1
