channel,freq,C1,C2,DV,increase,DV accepted
F3,0,1,3,250.248152,0,0
F3,1,1,3,232.722959,0,0
F3,2,1,3,184.609108,0,0
F3,3,1,3,117.988720,0,0
F3,4,1,3,52.335107,0,0
F3,9,1,2,23.283488,0,0
F3,12,1,3,33.887777,0,0
F3,13,1,3,25.083839,0,0
F3,14,1,3,11.007976,0,0
F3,19,1,2,6.713376,0,0
F3,24,1,2,6.359444,0,0
F3,25,1,3,13.626575,0,0
F3,26,1,3,16.314459,0,0
F3,27,1,3,13.365157,0,0
F3,28,1,3,7.370958,0,0
F3,29,1,3,7.751635,0,0
F3,30,1,3,13.240906,0,0
F3,31,1,3,14.445040,0,0
F3,32,1,3,10.842192,0,0
F3,34,1,3,8.057640,0,0
F3,39,1,3,8.287145,0,0
F3,40,1,3,11.112643,0,0
F3,41,1,3,10.167796,0,0
F3,42,1,3,5.857927,0,0
F3,43,1,3,4.234361,0,0
F3,44,1,3,8.808050,0,0
F3,46,1,3,8.646341,0,0
F3,47,1,3,3.948404,0,0
F3,48,1,3,4.680784,0,0
F3,52,1,2,2.129150,0,0
F3,53,1,3,5.651389,0,0
F3,56,1,3,5.711506,0,0
F3,57,1,2,1.913706,0,0
F3,58,1,3,6.621236,0,0
F3,61,1,3,4.416880,0,0
F3,62,1,3,3.153377,0,0
AF3,9,2,3,20.358679,1,0
AF3,10,1,3,21.676677,1,0
AF3,10,2,3,19.255974,1,0
AF3,11,2,3,24.038685,1,0
AF3,12,2,3,22.514140,1,0
AF3,29,2,3,5.708270,1,0
AF3,42,2,3,4.000118,1,0
AF3,47,2,3,2.719558,1,0
AF3,48,2,3,3.061879,1,0
AF3,52,2,3,1.889410,1,0
AF3,57,2,3,1.746550,1,0
AF3,62,2,3,2.217756,1,0
F7,0,2,3,109.941538,1,0
F7,1,2,3,103.186744,1,0
F7,2,2,3,84.663476,1,0
F7,3,2,3,58.785103,1,0
F7,4,2,3,34.746761,1,1
F7,5,1,3,21.816973,1,0
F7,5,2,3,21.789036,1,0
F7,6,2,3,28.342737,1,1
F7,7,2,3,29.385878,1,0
F7,8,1,2,24.267211,0,0
F7,8,2,3,25.913139,1,1
F7,9,1,2,17.498889,0,0
F7,9,2,3,19.053357,1,0
F7,10,1,2,16.611079,0,0
F7,10,2,3,19.191416,1,0
F7,11,1,2,20.011004,0,0
F7,11,2,3,22.181378,1,0
F7,12,1,2,19.724582,0,0
F7,12,2,3,20.262002,1,1
F7,13,2,3,15.407065,1,0
F7,14,2,3,9.642518,1,0
F7,15,2,3,10.383596,1,1
F7,16,2,3,12.526006,1,1
F7,17,2,3,12.000766,1,0
F7,18,2,3,9.014463,1,0
F7,19,2,3,6.590376,1,1
F7,20,1,2,8.648059,0,1
F7,20,2,3,9.183905,1,1
F7,21,1,2,10.261832,0,1
F7,21,2,3,10.630620,1,1
F7,22,2,3,10.104920,1,1
F7,23,2,3,7.007273,1,0
F7,24,2,3,5.679477,1,0
F7,25,1,2,7.648399,0,0
F7,25,2,3,7.544078,1,1
F7,26,1,2,8.108601,0,0
F7,26,2,3,8.767970,1,1
F7,27,1,2,7.105947,0,0
F7,27,2,3,7.819033,1,1
F7,28,1,2,5.106072,0,0
F7,28,2,3,5.322423,1,0
F7,29,1,2,5.505473,0,0
F7,29,2,3,5.435514,1,0
F7,30,1,2,7.249649,0,0
F7,30,2,3,7.170019,1,0
F7,31,2,3,7.323806,1,0
F7,32,2,3,6.449309,1,1
F7,33,1,3,4.856662,1,0
F7,33,2,3,4.689676,1,0
F7,34,1,2,5.355674,0,0
F7,34,2,3,5.595424,1,0
F7,35,1,2,7.082856,0,0
F7,35,2,3,6.650589,1,1
F7,36,1,2,6.897250,0,0
F7,36,2,3,6.585206,1,1
F7,37,1,2,5.091823,0,0
F7,37,2,3,5.458938,1,1
F7,38,1,3,3.879218,1,0
F7,38,2,3,3.806014,1,0
F7,39,1,2,4.785727,0,0
F7,39,2,3,5.292798,1,1
F7,40,1,2,5.806411,0,0
F7,40,2,3,5.957712,1,1
F7,41,1,2,5.337376,0,0
F7,41,2,3,5.480661,1,1
F7,42,2,3,3.916886,1,1
F7,43,2,3,3.098263,1,0
F7,44,2,3,4.430323,1,1
F7,45,1,2,5.158595,0,0
F7,45,2,3,4.889744,1,1
F7,46,2,3,4.323701,1,1
F7,47,2,3,2.653337,1,1
F7,48,1,2,2.663938,0,0
F7,48,2,3,2.843981,1,1
F7,49,1,2,4.219955,0,0
F7,49,2,3,4.221608,1,1
F7,50,1,2,4.563694,0,0
F7,50,2,3,4.484720,1,1
F7,51,1,2,3.575047,0,0
F7,51,2,3,3.583023,1,1
F7,52,1,3,1.930776,1,0
F7,52,2,3,1.909142,1,0
F7,53,1,2,3.034021,0,0
F7,53,2,3,3.051097,1,1
F7,54,1,2,4.293129,0,0
F7,54,2,3,4.156913,1,1
F7,55,1,2,4.303036,0,0
F7,55,2,3,4.243791,1,1
F7,56,1,2,3.022293,0,0
F7,56,2,3,3.088652,1,1
F7,57,1,3,1.799971,1,0
F7,57,2,3,1.728279,1,0
F7,58,1,2,3.310537,0,0
F7,58,2,3,3.299693,1,1
F7,59,1,2,4.278074,0,0
F7,59,2,3,4.125281,1,1
F7,60,1,2,3.983794,0,0
F7,60,2,3,3.884957,1,1
F7,61,1,2,2.489517,0,0
F7,61,2,3,2.583516,1,1
F7,62,1,2,1.917911,0,0
F7,62,2,3,2.161734,1,1
F7,63,1,2,3.652902,0,0
F7,63,2,3,3.671377,1,1
T7,0,1,3,288.611034,0,0
T7,1,1,3,268.541027,0,0
T7,2,1,3,213.283115,0,0
T7,3,1,3,136.706551,0,0
T7,4,1,3,58.008627,0,0
T7,5,1,3,23.137082,0,0
T7,6,1,3,54.901988,0,0
T7,7,1,3,63.605764,0,0
T7,8,1,3,48.762590,0,0
T7,9,1,2,19.878053,0,0
T7,9,1,3,22.843647,0,0
T7,10,1,2,16.925824,0,0
T7,10,1,3,21.489047,0,0
T7,11,1,3,35.301433,0,0
T7,12,1,3,36.251540,0,0
T7,13,1,3,25.353068,0,0
T7,14,1,3,8.794797,0,0
T7,15,1,3,15.313977,0,0
T7,16,1,3,25.080865,0,0
T7,17,1,3,24.823817,0,0
T7,18,1,3,15.524657,0,0
T7,19,1,2,5.839335,0,0
T7,19,1,3,6.102612,0,1
T7,20,1,3,15.071135,0,0
T7,21,1,3,21.174697,0,0
T7,22,1,3,19.099419,0,0
T7,23,1,3,10.434645,0,0
T7,25,1,3,14.253004,0,0
T7,26,1,3,17.692523,0,0
T7,27,1,3,14.340975,0,0
T7,28,1,3,7.048170,0,0
T7,29,1,3,7.985908,0,0
T7,30,1,3,13.767161,0,0
T7,31,1,3,15.415834,0,0
T7,32,1,3,11.246668,0,0
T7,34,1,3,9.112013,0,0
T7,35,1,3,13.370577,0,0
T7,36,1,3,13.436174,0,0
T7,37,1,3,8.792494,0,0
T7,39,1,3,9.576828,0,0
T7,40,1,3,12.400212,0,0
T7,41,1,3,11.220631,0,0
T7,42,1,3,6.477360,0,0
T7,43,1,3,4.171267,0,0
T7,44,1,3,9.408291,0,0
T7,45,1,3,11.765196,0,0
T7,46,1,3,9.550646,0,0
T7,47,1,3,3.946877,0,0
T7,48,1,3,4.897114,0,0
T7,49,1,3,9.796335,0,0
T7,50,1,3,10.958052,0,0
T7,51,1,3,7.856781,0,0
T7,52,1,3,2.331763,0,0
T7,53,1,3,6.174689,0,0
T7,54,1,3,10.140289,0,0
T7,55,1,3,10.170319,0,0
T7,56,1,3,6.273991,0,0
T7,57,1,3,2.081460,0,0
T7,58,1,3,7.336006,0,0
T7,59,1,3,10.346011,0,0
T7,60,1,3,9.325448,0,0
T7,61,1,3,4.770246,0,0
T7,62,1,3,3.338647,0,0
T7,63,1,3,8.393291,0,0
P7,10,1,2,15.543785,0,0
O1,9,2,3,14.983452,1,0
O1,10,1,2,13.636875,0,0
O1,10,2,3,14.254936,1,0
O1,14,2,3,7.748245,1,0
O1,52,1,2,1.208335,0,0
O1,57,2,3,1.148946,1,0
O2,5,1,3,22.237178,0,0
O2,10,2,3,25.933935,1,0
O2,14,2,3,12.338683,1,0
O2,19,1,2,7.414959,0,0
O2,19,2,3,7.194472,1,0
P8,9,1,2,23.551462,0,1
P8,9,2,3,23.882741,1,1
P8,10,2,3,24.371909,1,1
P8,14,2,3,12.107933,1,0
P8,19,1,2,7.185684,0,0
P8,19,2,3,7.339840,1,0
T8,0,1,2,302.368713,0,0
T8,0,1,3,311.472046,0,0
T8,1,1,2,281.166953,0,0
T8,1,1,3,290.633579,0,0
T8,2,1,2,222.280811,0,0
T8,2,1,3,232.781811,0,0
T8,3,1,2,140.578834,0,0
T8,3,1,3,151.951058,0,0
T8,4,1,2,57.686101,0,0
T8,4,1,3,67.124211,0,0
T8,5,1,2,27.017307,0,0
T8,5,1,3,28.381447,0,0
T8,6,1,2,61.026463,0,0
T8,6,1,3,61.818975,0,0
T8,7,1,2,69.472694,0,0
T8,7,1,3,70.725518,0,0
T8,8,1,2,53.594535,0,0
T8,8,1,3,55.782748,0,0
T8,9,1,2,26.730362,0,0
T8,9,1,3,30.355018,0,0
T8,10,1,2,27.088827,0,0
T8,10,1,3,29.101657,0,0
T8,11,1,2,40.031830,0,0
T8,11,1,3,40.997901,0,0
T8,12,1,2,41.580704,0,0
T8,12,1,3,40.962075,0,0
T8,13,1,2,28.999982,0,0
T8,13,1,3,29.958182,0,0
T8,14,1,2,13.365504,0,0
T8,15,1,2,18.298648,0,0
T8,15,1,3,19.056437,0,0
T8,16,1,2,28.972888,0,0
T8,16,1,3,28.073099,0,0
T8,17,1,2,28.334392,0,0
T8,17,1,3,27.988077,0,0
T8,18,1,2,17.697598,0,0
T8,18,1,3,18.537137,0,0
T8,19,1,2,8.364631,0,0
T8,19,1,3,8.807553,0,0
T8,20,1,2,17.961532,0,0
T8,20,1,3,18.364426,0,0
T8,21,1,2,24.634034,0,0
T8,21,1,3,24.238286,0,0
T8,22,1,2,21.885681,0,0
T8,22,1,3,21.619777,0,0
T8,23,1,2,12.386384,0,0
