channel,freq,C1,C2,DV,increase,DV accepted
F3,0,1,3,206.400043,0,1
F3,1,1,3,192.962175,0,1
F3,2,1,3,154.922284,0,1
F3,3,1,3,101.530618,0,1
F3,4,1,3,46.225610,0,1
F3,9,1,2,20.453946,0,1
F3,12,1,3,29.106623,0,1
F3,13,1,3,20.911269,0,1
F3,14,1,3,9.682182,0,1
F3,19,1,2,6.683674,0,1
F3,24,1,2,6.322775,0,1
F3,25,1,3,11.320715,0,1
F3,26,1,3,13.386151,0,1
F3,27,1,3,10.954291,0,1
F3,28,1,3,5.920675,0,1
F3,29,1,3,7.152139,0,1
F3,30,1,3,10.544638,0,1
F3,31,1,3,11.435567,0,1
F3,32,1,3,9.392519,0,1
F3,34,1,3,7.437687,0,1
F3,39,1,3,7.301776,0,1
F3,40,1,3,9.813482,0,1
F3,41,1,3,9.016970,0,1
F3,42,1,3,5.261121,0,1
F3,43,1,3,3.600572,0,1
F3,44,1,3,7.109522,0,1
F3,46,1,3,7.080284,0,1
F3,47,1,3,3.246235,0,1
F3,48,1,3,3.933722,0,1
F3,52,1,2,2.181119,0,1
F3,53,1,3,4.630394,0,1
F3,56,1,3,4.733093,0,1
F3,57,1,2,1.947840,0,1
F3,58,1,3,5.438163,0,1
F3,61,1,3,3.664401,0,1
F3,62,1,3,2.689213,0,1
AF3,9,2,3,20.631670,1,1
AF3,10,1,3,21.503387,1,1
AF3,10,2,3,20.582331,1,1
AF3,11,2,3,24.221922,1,1
AF3,12,2,3,23.060445,1,1
AF3,29,2,3,5.682202,1,1
AF3,42,2,3,3.946947,1,1
AF3,47,2,3,2.723132,1,1
AF3,48,2,3,3.011005,1,1
AF3,52,2,3,1.897746,1,1
AF3,57,2,3,1.764984,1,1
AF3,62,2,3,2.243252,1,1
F7,0,2,3,121.480619,1,1
F7,1,2,3,114.171347,1,1
F7,2,2,3,93.570041,1,1
F7,3,2,3,65.009436,1,1
F7,4,2,3,35.025474,1,1
F7,5,1,3,21.692320,1,1
F7,5,2,3,21.737800,1,1
F7,6,2,3,29.151899,1,1
F7,7,2,3,31.058228,1,1
F7,8,1,2,26.705744,0,1
F7,8,2,3,26.668021,1,1
F7,9,1,2,17.910043,0,1
F7,9,2,3,19.813149,1,1
F7,10,1,2,17.463332,0,1
F7,10,2,3,19.560325,1,1
F7,11,1,2,20.618699,0,1
F7,11,2,3,22.796887,1,1
F7,12,1,2,20.007179,0,1
F7,12,2,3,21.825358,1,1
F7,13,2,3,16.222281,1,1
