channel,freq,C1,C2,DV,narrow,DV accepted
F3,0,1,2,1.983993,1,0
F3,1,1,2,1.976964,1,0
F3,2,1,2,1.864288,1,0
F3,3,1,2,1.905396,1,0
F3,4,1,2,1.785972,1,0
F3,5,1,2,1.470002,1,0
F3,6,1,2,1.726404,1,0
F3,7,1,2,1.906126,1,0
F3,8,1,2,1.741809,1,0
F3,9,1,2,1.537008,1,0
F3,10,1,2,1.449703,1,0
F3,11,1,2,1.571357,1,0
F3,12,1,2,1.676950,1,0
F3,13,1,2,1.569830,1,0
F3,14,1,2,1.327687,1,0
F3,15,1,2,1.500283,1,0
F3,16,1,2,1.735637,1,0
F3,17,1,2,1.703131,1,0
F3,18,1,2,1.563198,1,0
F3,19,1,2,1.304804,1,0
F3,20,1,2,1.576842,1,0
F3,21,1,2,1.573312,1,0
F3,22,1,2,1.633175,1,0
F3,23,1,2,1.454130,1,0
F3,24,1,2,1.398641,1,0
F3,25,1,2,1.728413,1,0
F3,26,1,2,1.803412,1,0
F3,27,1,2,1.629460,1,0
F3,28,1,2,1.408442,1,0
F3,29,1,2,1.347542,1,0
F3,30,1,2,1.397205,1,0
F3,31,1,2,1.520327,1,0
F3,32,1,2,1.436452,1,0
F3,34,1,2,1.378518,1,0
F3,35,1,2,1.518711,1,0
F3,36,1,2,1.578768,1,0
F3,37,1,2,1.364324,1,0
F3,38,1,2,1.266599,1,0
F3,39,1,2,1.415925,1,0
F3,40,1,2,1.548764,1,0
F3,41,1,2,1.486906,1,0
F3,42,1,2,1.444761,1,0
F3,43,1,2,1.336599,1,0
F3,44,1,2,1.688720,1,0
F3,45,1,2,1.561123,1,0
F3,46,1,2,1.709251,1,0
F3,47,1,2,1.281887,1,0
F3,48,1,2,1.611729,1,0
F3,49,1,2,1.983400,1,0
F3,50,1,2,1.886699,1,0
F3,51,1,2,1.943883,1,0
F3,52,1,2,1.234944,1,0
F3,53,1,2,1.747886,1,0
F3,54,1,2,2.026942,1,0
F3,55,1,2,2.003493,1,0
F3,56,1,2,1.768152,1,0
F3,57,1,2,1.286800,1,0
F3,58,1,2,2.055249,1,0
F3,59,1,2,1.973402,1,0
F3,60,1,2,1.995604,1,0
F3,61,1,2,1.582298,1,0
F3,62,1,2,1.506965,1,0
F3,63,1,2,2.046592,1,0
FC5,0,1,2,1.530847,1,0
FC5,1,1,2,1.538987,1,0
FC5,2,1,2,1.490617,1,0
FC5,3,1,2,1.474686,1,0
FC5,4,1,2,1.418572,1,0
FC5,5,1,2,1.360071,1,0
FC5,6,1,2,1.527897,1,0
FC5,7,1,2,1.620174,1,0
FC5,8,1,2,1.529113,1,1
FC5,9,1,2,1.601566,1,0
FC5,10,1,2,1.600289,1,0
FC5,11,1,2,1.592237,1,0
FC5,12,1,2,1.387504,1,0
FC5,13,1,2,1.407749,1,0
FC5,14,1,2,1.262540,1,0
FC5,15,1,2,1.343263,1,0
FC5,16,1,2,1.517599,1,0
FC5,17,1,2,1.339863,1,0
FC5,18,1,2,1.496557,1,0
FC5,19,1,2,1.290788,1,0
FC5,20,1,2,1.446341,1,0
FC5,21,1,2,1.513902,1,0
FC5,22,1,2,1.481072,1,0
FC5,23,1,2,1.396690,1,0
FC5,24,1,2,1.225628,1,0
FC5,25,1,2,1.370294,1,0
FC5,26,1,2,1.510832,1,0
FC5,27,1,2,1.487916,1,0
FC5,28,1,2,1.267928,1,0
FC5,29,1,2,1.211568,1,0
FC5,30,1,2,1.390608,1,0
FC5,31,1,2,1.357638,1,0
FC5,32,1,2,1.231018,1,0
FC5,33,1,2,1.354890,1,0
FC5,34,1,2,1.249150,1,0
FC5,35,1,2,1.336611,1,0
FC5,36,1,2,1.317269,1,0
FC5,37,1,2,1.292591,1,0
FC5,38,1,2,1.376923,1,0
FC5,39,1,2,1.303192,1,0
FC5,40,1,2,1.534514,1,0
FC5,41,1,2,1.681347,1,0
FC5,42,1,2,1.503499,1,0
FC5,43,1,2,1.270911,1,0
FC5,44,1,2,1.455664,1,0
FC5,45,1,2,1.479521,1,0
FC5,46,1,2,1.515578,1,0
FC5,47,1,2,1.395661,1,0
FC5,48,1,2,1.472183,1,0
FC5,49,1,2,1.422074,1,0
FC5,50,1,2,1.451624,1,0
FC5,51,1,2,1.683927,1,0
FC5,52,1,2,1.430054,1,0
FC5,53,1,2,1.452379,1,0
FC5,54,1,2,1.492307,1,0
FC5,55,1,2,1.478159,1,0
FC5,56,1,2,1.581503,1,0
FC5,57,1,2,1.356623,1,0
FC5,58,1,2,1.422820,1,0
FC5,59,1,2,1.430124,1,0
FC5,60,1,2,1.456145,1,0
FC5,61,1,2,1.569866,1,0
FC5,62,1,2,1.459273,1,0
FC5,63,1,2,1.583006,1,0
AF3,0,1,2,1.850510,1,0
AF3,1,1,2,1.799184,1,0
AF3,2,1,2,1.795622,1,0
AF3,3,1,2,1.733369,1,0
AF3,4,1,2,1.791138,1,0
AF3,5,1,2,1.696392,1,0
AF3,6,1,2,1.732873,1,0
AF3,7,1,2,1.746912,1,0
AF3,8,1,2,1.636012,1,0
AF3,9,1,2,1.489031,1,0
AF3,10,1,2,1.618216,1,0
AF3,11,1,2,1.532231,1,0
AF3,12,1,2,1.574022,1,0
AF3,13,1,2,1.483046,1,0
AF3,14,1,2,1.460500,1,0
AF3,15,1,2,1.473113,1,0
AF3,16,1,2,1.647578,1,0
AF3,17,1,2,1.479659,1,0
AF3,18,1,2,1.452631,1,0
AF3,19,1,2,1.448332,1,0
AF3,20,1,2,1.537481,1,0
AF3,21,1,2,1.642458,1,0
AF3,22,1,2,1.592561,1,0
AF3,23,1,2,1.418731,1,0
AF3,24,1,2,1.471936,1,0
AF3,25,1,2,1.546256,1,0
AF3,26,1,2,1.665067,1,0
AF3,27,1,2,1.654756,1,0
AF3,28,1,2,1.414668,1,0
AF3,29,1,2,1.427210,1,0
AF3,30,1,2,1.494550,1,0
AF3,31,1,2,1.527779,1,0
AF3,32,1,2,1.483787,1,0
AF3,33,1,2,1.442855,1,0
AF3,34,1,2,1.516574,1,0
AF3,35,1,2,1.765304,1,0
AF3,36,1,2,1.702736,1,0
AF3,37,1,2,1.542132,1,0
AF3,38,1,2,1.272249,1,0
AF3,39,1,2,1.595063,1,0
AF3,40,1,2,1.522501,1,0
AF3,41,1,2,1.636787,1,0
AF3,42,1,2,1.442666,1,0
AF3,43,1,2,1.369577,1,0
AF3,44,1,2,1.789385,1,0
AF3,45,1,2,1.741201,1,0
AF3,46,1,2,1.762908,1,0
AF3,47,1,2,1.453155,1,0
AF3,48,1,2,1.486530,1,0
AF3,49,1,2,1.690830,1,0
AF3,50,1,2,1.698717,1,0
AF3,51,1,2,1.769304,1,0
AF3,52,1,2,1.544189,1,0
AF3,53,1,2,1.693355,1,0
AF3,54,1,2,1.737187,1,0
AF3,55,1,2,1.683398,1,0
AF3,56,1,2,1.777786,1,0
AF3,57,1,2,1.515144,1,0
AF3,58,1,2,1.685249,1,0
AF3,59,1,2,1.660019,1,0
AF3,60,1,2,1.706348,1,0
AF3,61,1,2,1.658105,1,0
AF3,62,1,2,1.601913,1,0
AF3,63,1,2,1.712961,1,0
F7,0,1,2,1.498259,1,0
F7,1,1,2,1.480072,1,0
F7,2,1,2,1.376915,1,0
F7,3,1,2,1.386222,1,0
F7,6,1,2,1.573921,1,0
F7,7,1,2,1.562013,1,0
F7,8,1,2,1.544656,1,0
F7,9,1,2,1.459842,1,1
F7,10,1,2,1.441393,1,0
F7,11,1,2,1.462925,1,0
