channel,freq,C1,C2,DV
T7,0,1,2,1.517702
T7,1,1,2,1.515543
T7,2,1,2,1.525455
T7,3,1,2,1.477985
T7,4,1,2,1.389185
T7,5,1,2,1.42393
T7,6,1,2,1.29147
T7,7,1,2,1.364443
T7,8,1,2,1.393582
T7,9,1,2,1.510915
T7,10,1,2,1.358684
T7,11,1,2,1.538655
T7,12,1,2,1.575212
T7,13,1,2,1.403748
T7,14,1,2,1.239836
T7,15,1,2,1.376488
T7,16,1,2,1.565057
T7,18,1,2,1.445443
T7,20,1,2,1.485265
T7,21,1,2,1.430785
T7,22,1,2,1.433098
T7,26,1,2,1.415517
T7,27,1,2,1.36606
T7,35,1,2,1.347217
T7,36,1,2,1.304305
T7,37,1,2,1.548305
T7,40,1,2,1.447782
T7,41,1,2,1.431203
T7,43,1,2,1.298787
T7,44,1,2,1.40949
T7,45,1,2,1.484058
T7,46,1,2,1.382276
T7,47,1,2,1.290884
T7,48,1,2,1.556632
T7,49,1,2,1.6496
T7,50,1,2,1.615414
T7,51,1,2,1.624527
T7,52,1,2,1.384173
T7,53,1,2,1.549541
T7,54,1,2,1.629051
T7,55,1,2,1.643793
T7,56,1,2,1.583022
T7,57,1,2,1.28501
T7,58,1,2,1.727697
T7,59,1,2,1.646782
T7,60,1,2,1.656647
T7,61,1,2,1.586075
T7,62,1,2,1.436646
T7,63,1,2,1.614455
T8,0,1,2,1.641384
T8,1,1,2,1.718045
T8,2,1,2,1.704437
T8,3,1,2,1.927903
T8,4,1,2,1.977278
T8,5,1,2,1.591538
T8,6,1,2,1.731701
T8,7,1,2,1.851853
T8,8,1,2,1.71126
T8,9,1,2,1.478023
T8,10,1,2,1.602654
T8,11,1,2,1.72891
T8,12,1,2,1.694063
T8,13,1,2,1.529576
T8,14,1,2,1.272754
T8,15,1,2,1.479832
T8,16,1,2,1.623958
T8,17,1,2,1.432908
T8,18,1,2,1.534238
T8,19,1,2,1.42415
T8,20,1,2,1.426527
T8,21,1,2,1.667601
T8,22,1,2,1.719986
T8,23,1,2,1.429226
T8,24,1,2,1.313346
T8,25,1,2,1.565159
T8,26,1,2,1.458755
T8,27,1,2,1.414076
T8,28,1,2,1.309346
T8,29,1,2,1.395818
T8,30,1,2,1.577978
T8,31,1,2,1.513099
T8,32,1,2,1.398734
T8,33,1,2,1.26614
T8,34,1,2,1.445266
T8,35,1,2,1.432912
T8,36,1,2,1.373412
T8,37,1,2,1.310095
T8,38,1,2,1.374109
T8,39,1,2,1.633561
T8,40,1,2,1.922088
T8,41,1,2,1.493224
T8,42,1,2,1.406299
T8,43,1,2,1.261949
T8,44,1,2,1.638802
T8,45,1,2,1.580313
T8,46,1,2,1.720161
T8,47,1,2,1.657713
T8,48,1,2,1.514446
T8,49,1,2,1.951645
T8,50,1,2,1.921092
T8,51,1,2,1.821197
T8,52,1,2,1.521954
T8,53,1,2,1.827797
T8,54,1,2,1.901127
T8,55,1,2,1.911485
T8,56,1,2,1.716214
T8,57,1,2,1.509701
T8,58,1,2,1.813411
T8,59,1,2,2.001624
T8,60,1,2,1.958538
T8,61,1,2,1.641723
T8,62,1,2,1.609325
T8,63,1,2,1.806856
