channel,freq,C1,C2,DV
T7,9,1,2,1.410456
T7,10,1,2,1.283815
T8,6,1,2,1.567022
T8,20,1,2,1.338787
T8,25,1,2,1.427449
T8,44,1,2,1.433228
T8,45,1,2,1.433378
T8,46,1,2,1.519188
T8,48,1,2,1.411882
T8,55,1,2,1.67316
O1,9,1,2,1.356731
O1,10,1,2,1.375858
O1,13,1,2,1.435982
O1,20,1,2,1.24039
O1,57,1,2,1.364342
O2,7,1,2,1.500154
O2,8,1,2,1.423206
O2,9,1,2,1.287673
O2,16,1,2,1.386596
O2,17,1,2,1.388645
O2,20,1,2,1.407799
O2,21,1,2,1.477741
O2,26,1,2,1.484089
O2,27,1,2,1.390811
O2,46,1,2,1.610645
O2,53,1,2,1.547622
O2,56,1,2,1.538669
O2,58,1,2,1.611651
