channel,freq,C1,C2,DV,narrow,DV accepted
F3,5,1,2,1.355245,1,0
F3,9,1,2,1.554595,1,0
FC5,5,1,2,1.331732,1,0
FC5,6,1,2,1.335509,1,0
FC5,7,1,2,1.345105,1,0
FC5,8,1,2,1.436708,1,0
FC5,9,1,2,1.341901,1,0
FC5,10,1,2,1.444242,1,0
FC5,11,1,2,1.333434,1,0
FC5,12,1,2,1.236240,1,0
FC5,20,1,2,1.251776,1,0
FC5,21,1,2,1.371484,1,0
FC5,22,1,2,1.359435,1,0
FC5,40,1,2,1.298874,1,0
FC5,41,1,2,1.405334,1,0
FC5,43,1,2,1.264930,1,0
FC5,44,1,2,1.375426,1,0
AF3,5,1,2,1.707287,1,0
AF3,6,1,2,1.605153,1,0
AF3,7,1,2,1.645437,1,0
AF3,8,1,2,1.563023,1,0
AF3,9,1,2,1.413749,1,0
AF3,10,1,2,1.462752,1,0
AF3,18,1,2,1.294177,1,0
AF3,20,1,2,1.391508,1,0
AF3,26,1,2,1.503374,1,0
AF3,27,1,2,1.452492,1,0
AF3,28,1,2,1.283461,1,0
F7,8,1,2,1.454009,1,0
F7,9,1,2,1.337198,1,0
F7,10,1,2,1.341949,1,0
F7,11,1,2,1.235804,1,0
F7,15,1,2,1.352586,1,0
F7,16,1,2,1.494657,1,0
F7,20,1,2,1.292845,1,0
F7,38,1,2,1.321321,1,0
T7,9,1,2,1.339600,1,0
T7,10,1,2,1.208005,1,0
P7,5,1,2,1.173110,1,0
P7,9,1,2,1.411972,1,0
P7,10,1,2,1.450135,1,0
O1,9,1,2,1.290084,1,0
O1,10,1,2,1.281705,1,0
O1,11,1,2,1.314602,1,0
O1,14,1,2,1.245863,1,0
O2,5,1,2,1.383474,1,0
O2,8,1,2,1.579580,1,0
O2,9,1,2,1.214621,1,0
O2,10,1,2,1.269385,1,0
O2,11,1,2,1.460853,1,0
O2,14,1,2,1.249674,1,0
O2,19,1,2,1.216444,1,0
P8,5,1,2,1.656911,1,0
P8,7,1,2,2.048052,1,0
P8,8,1,2,1.904730,1,0
P8,9,1,2,1.563005,1,0
P8,10,1,2,1.410547,1,0
P8,14,1,2,1.334482,1,0
P8,19,1,2,1.374594,1,0
P8,28,1,2,1.365681,1,0
P8,29,1,2,1.441371,1,0
T8,5,1,2,1.350787,1,0
T8,8,1,2,0.692567,0,0
T8,9,1,2,0.805458,0,0
T8,10,1,2,1.423563,1,0
F8,9,1,2,1.442542,1,0
AF4,0,1,2,1.614321,1,0
AF4,1,1,2,1.555253,1,0
AF4,2,1,2,1.539983,1,0
AF4,3,1,2,1.434678,1,0
AF4,4,1,2,1.442906,1,0
AF4,5,1,2,1.423225,1,0
AF4,6,1,2,1.426236,1,0
AF4,7,1,2,1.502384,1,0
AF4,8,1,2,0.848752,0,0
AF4,9,1,2,1.396994,1,0
AF4,10,1,2,1.445802,1,0
AF4,11,1,2,1.497817,1,0
AF4,12,1,2,1.385887,1,0
AF4,16,1,2,1.485432,1,0
AF4,17,1,2,1.448598,1,0
AF4,18,1,2,1.344198,1,0
AF4,20,1,2,1.354441,1,0
AF4,21,1,2,1.399234,1,0
AF4,22,1,2,1.271221,1,0
AF4,23,1,2,1.330156,1,0
AF4,25,1,2,1.297208,1,0
AF4,26,1,2,1.425598,1,0
AF4,27,1,2,1.505085,1,0
AF4,39,1,2,1.238427,1,0
AF4,40,1,2,1.273528,1,0
AF4,41,1,2,1.384664,1,0
AF4,44,1,2,1.427917,1,0
AF4,45,1,2,1.527378,1,0
AF4,46,1,2,1.422808,1,0
AF4,48,1,2,1.345186,1,0
AF4,49,1,2,1.513947,1,0
AF4,50,1,2,1.523174,1,0
AF4,51,1,2,1.610883,1,0
AF4,53,1,2,1.523021,1,0
AF4,54,1,2,1.504882,1,0
AF4,55,1,2,1.507111,1,0
AF4,56,1,2,1.608230,1,0
AF4,58,1,2,1.601387,1,0
AF4,59,1,2,1.581666,1,0
AF4,60,1,2,1.510484,1,0
AF4,61,1,2,1.392277,1,0
AF4,63,1,2,1.563977,1,0
FC6,5,1,2,1.436054,1,0
FC6,8,1,2,1.588351,1,0
FC6,9,1,2,1.456447,1,0
FC6,10,1,2,1.349397,1,0
FC6,43,1,2,1.252462,1,0
F4,5,1,2,1.463265,1,0
F4,9,1,2,0.884746,0,0
F4,10,1,2,1.476792,1,0
